Warehouse,Country,Region/State,Zip/Postal Code,Weight (and above),Method,Shipping Price
0,USA,DC,,66,1,0
0,USA,DC,,67,1,0
0,USA,DC,,68,1,0
0,USA,DC,,69,1,0
0,USA,DC,,70,1,0
0,USA,DC,,71,1,0
0,USA,DC,,72,1,0
0,USA,DC,,73,1,0
0,USA,DC,,74,1,0
0,USA,DC,,75,1,0
0,USA,DC,,76,1,0
0,USA,DC,,77,1,0
0,USA,DC,,78,1,0
0,USA,DC,,79,1,0
0,USA,DC,,80,1,0
0,USA,DC,,81,1,0
0,USA,DC,,82,1,0
0,USA,DC,,83,1,0
0,USA,DC,,84,1,0
0,USA,DC,,85,1,0
0,USA,DC,,86,1,0
0,USA,DC,,87,1,0
0,USA,DC,,88,1,0
0,USA,DC,,89,1,0
0,USA,DC,,90,1,0
0,USA,DC,,91,1,0
0,USA,DC,,92,1,0
0,USA,DC,,93,1,0
0,USA,DC,,94,1,0
0,USA,DC,,95,1,0
0,USA,DC,,96,1,0
0,USA,DC,,97,1,0
0,USA,DC,,98,1,0
0,USA,DC,,99,1,0
0,USA,DC,,100,1,0
0,USA,DC,,101,1,0
0,USA,DC,,102,1,0
0,USA,DC,,103,1,0
0,USA,DC,,104,1,0
0,USA,DC,,105,1,0
0,USA,DC,,106,1,0
0,USA,DC,,107,1,0
0,USA,DC,,108,1,0
0,USA,DC,,109,1,0
0,USA,DC,,110,1,0
0,USA,DC,,111,1,0
0,USA,DC,,112,1,0
0,USA,DC,,113,1,0
0,USA,DC,,114,1,0
0,USA,DC,,115,1,0
0,USA,DC,,116,1,0
0,USA,DC,,117,1,0
0,USA,DC,,118,1,0
0,USA,DC,,119,1,0
0,USA,DC,,120,1,0
0,USA,DC,,121,1,0
0,USA,DC,,122,1,0
0,USA,DC,,123,1,0
0,USA,DC,,124,1,0
0,USA,DC,,125,1,0
0,USA,DC,,126,1,0
0,USA,DC,,127,1,0
0,USA,DC,,128,1,0
0,USA,DC,,129,1,0
0,USA,DC,,130,1,0
0,USA,DC,,131,1,0
0,USA,DC,,132,1,0
0,USA,DC,,133,1,0
0,USA,DC,,134,1,0
0,USA,DC,,135,1,0
0,USA,DC,,136,1,0
0,USA,DC,,137,1,0
0,USA,DC,,138,1,0
0,USA,DC,,139,1,0
0,USA,DC,,140,1,0
0,USA,DC,,141,1,0
0,USA,DC,,142,1,0
0,USA,DC,,143,1,0
0,USA,DC,,144,1,0
0,USA,FL,,1,1,9.99
0,USA,FL,,2,1,9.99
0,USA,FL,,3,1,9.99
0,USA,FL,,4,1,9.99
0,USA,FL,,5,1,9.99
0,USA,FL,,6,1,9.99
0,USA,FL,,7,1,9.99
0,USA,FL,,8,1,9.99
0,USA,FL,,9,1,9.99
0,USA,FL,,10,1,9.99
0,USA,FL,,11,1,9.99
0,USA,FL,,12,1,9.99
0,USA,FL,,13,1,9.99
0,USA,FL,,14,1,9.99
0,USA,FL,,15,1,9.99
0,USA,FL,,16,1,9.99
0,USA,FL,,17,1,9.99
0,USA,FL,,18,1,9.99
0,USA,FL,,19,1,9.99
